id,compriment
"231",37.838
"232",48.442
"233",30.655
"234",50.875
"235",77.533
"236",25.095
"237",22.886
"238",27.731
"239",148.472
"240",150.841
"241",162.811
"242",131.650
"243",157.979
"244",75.084
"245",31.857
"246",42.860
"247",36.791
"248",40.846
"249",35.763
"250",27.053
"251",32.183
"252",38.776
"253",34.070
"254",39.604
"255",39.940
"256",41.627
"257",45.777
"258",53.709
"259",48.531
"260",38.642
"261",38.982
"262",39.666
"263",43.868
"264",38.817
"265",50.449
"266",70.751
"267",133.965
"268",189.847
"269",56.113
"270",25.388
"271",19.996
"272",142.239
"273",164.438
"274",101.748
"275",33.387
"276",19.726
"277",48.484
"278",49.480
"279",85.090
"280",140.593
"281",160.546
"282",46.590
"283",235.945
"284",185.253
"285",102.407
"286",99.725
"287",48.432
"288",51.584
"289",52.376
"290",43.847
"291",34.603
"292",36.063
"293",45.135
"294",38.129
"295",36.851
"296",44.048
"297",68.305
"298",76.615
"299",44.305
"300",86.833
"301",110.878
"302",73.038
"303",64.259
"304",44.966
"305",55.834
"306",39.431
"307",34.255
"308",32.539
"309",35.365
"310",49.050
"311",34.156
"312",50.604
"313",68.588
"314",79.026
"315",150.638
"316",157.740
"317",213.589
"318",46.691
"319",45.836
"320",35.916
"321",36.624
"322",48.306
"323",50.566
"324",39.671
"325",44.391
"326",40.209
"327",48.172
"328",43.838
"329",45.583
"330",42.733
"331",75.283
"332",210.986
"333",244.775
"334",237.073
"335",215.911
"336",186.971
"337",126.010
"338",35.957
"339",38.604
"340",46.156
"341",49.377
"342",46.648
"343",35.101
"344",32.908
"345",42.357
"346",43.231
"347",47.629
"348",51.656
"349",118.478
"350",121.959
"351",215.312
"352",26.208
"353",36.645
"354",32.082
"355",31.479
"356",38.315
"357",22.860
"358",32.343
"359",28.352
"360",28.114
"361",29.677
"362",44.661
"363",44.525
"364",49.219
"365",76.360
"366",131.011
"367",226.485
"368",290.773
"369",355.735
"370",237.267
"371",69.378
"372",55.316
"373",62.221
"374",46.597
"375",45.117
"376",70.175
"377",81.246
"378",135.319
"379",159.990
"380",441.138
"381",116.092
"382",195.401
"383",93.782
"384",100.284
"385",77.442
"386",101.698
"387",95.683
"388",78.608
"389",72.631
"390",103.779
"391",109.148
"392",79.832
"393",106.425
"394",86.450
"395",74.015
"396",163.184
"397",239.785
"398",135.206
"399",102.872
"400",77.271
"401",80.841
"402",70.791
"403",55.616
"404",77.428
"405",66.541
"406",65.006
"407",75.894
"408",214.462
"409",135.177
"410",367.807
"411",307.952
"412",209.907
"413",62.725
"414",86.901
"415",79.888
"416",81.054
"417",71.675
"418",129.765
"419",115.451
"420",123.577
"421",170.067
"422",133.264
"423",64.714
"424",46.864
"425",52.389
"426",72.014
"427",92.568
"428",98.604
"429",76.237
"430",112.422
"431",98.751
"432",87.631
"433",84.828
"434",288.110
"435",371.455
"436",79.330
"437",66.949
"438",92.625
"439",81.720
"440",85.773
"441",91.753
"442",102.614
"443",89.497
"444",68.688
"445",67.600
"446",103.191
"447",75.871
"448",107.291
"449",128.704
"450",355.896
"451",148.578
"452",86.650
"453",76.923
"454",67.250
"455",87.405
"456",140.717
"457",407.838
"458",165.896
"459",440.595
"460",323.803
"461",552.810
"462",441.172
"463",344.191
"464",228.570
"465",572.073
"466",135.121
"467",97.906
"468",92.490
"469",98.631
"470",371.251
"471",116.558
"472",95.343
"473",85.090
"474",88.534
"475",86.518
"476",103.003
"477",120.670
"478",165.836
"479",130.108
"480",114.781
"481",302.599
"482",275.993
"483",341.037
"484",284.384
"485",153.952
"486",51.363
"487",56.128
"488",86.083
"489",90.620
"490",86.269
"491",139.456
"492",161.448
"493",65.643
"494",87.061
"495",75.896
"496",120.796
"497",95.379
"498",122.546
"499",125.512
"500",111.812
"501",149.551
"502",697.162
"503",565.459
"504",184.326
"505",85.438
"506",137.798
"507",98.523
"508",77.684
"509",125.903
"510",100.756
"511",105.326
"512",108.264
"513",110.482
"514",103.729
"515",92.618
"516",74.903
"517",260.034
"518",81.917
"519",85.892
"520",99.595
"521",117.039
"522",116.866
"523",154.826
"524",109.445
"525",91.045
"526",387.881
"527",221.375
"528",118.382
"529",119.624
"530",61.108
"531",96.422
"532",81.474
"533",65.159
"534",81.665
"535",74.098
"536",104.929
"537",106.084
"538",97.541
"539",102.231
"540",132.475
"541",201.594
"542",49.186
"543",43.632
"544",131.460
"545",120.365
"546",115.973
"547",132.976
"548",122.018
"549",103.010
"550",105.344
"551",113.727
"552",142.570
"553",87.672
"554",100.114
"555",212.542
"556",264.171
"557",259.802
"558",197.805
"559",71.582
"560",77.846
"561",96.178
"562",86.787
"563",93.581
"564",191.675
"565",381.497
"566",520.350
"567",127.598
"568",88.540
"569",62.784
"570",131.449
"571",152.237
"572",153.073
"573",292.464
"574",93.129
"575",108.452
"576",98.365
"577",99.272
"578",121.968
"579",120.826
"580",160.671
"581",277.110
"582",444.392
"583",730.239
"584",322.782
"585",143.852
